Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
24992;1657632833;312562839;3;0,527372;2000;70
24993;312562839;1657632833;3;0,527372;2000;70
24994;963049330;312568796;3;0,034411;2000;70
24995;312568796;963049330;3;0,034411;2000;70
24996;1648587636;312569547;3;0,327354;2000;70
24997;312569547;1648587636;3;0,327354;2000;70
24998;312575336;312574907;3;0,041505;2000;70
24999;312574907;312575336;3;0,041505;2000;70
25000;312575705;312574907;3;0,029346;2000;70
25001;312574907;312575705;3;0,029346;2000;70
25002;312575768;312575705;3;0,038128;2000;70
25003;312575705;312575768;3;0,038128;2000;70
25004;1648551896;312575768;3;0,034525;2000;70
25005;312575768;1648551896;3;0,034525;2000;70
25006;963049349;312595263;3;0,057413;2000;70
25007;312595263;963049349;3;0,057413;2000;70
25008;3951403604;312595423;3;0,127323;2000;70
25009;312595423;3951403604;3;0,127323;2000;70
25010;2989480878;312596306;3;0,197234;2000;70
25011;312596306;2989480878;3;0,197234;2000;70
25012;3951403579;312596306;3;1,983358;2000;70
25013;312596306;3951403579;3;1,983358;2000;70
25014;3951403604;312596443;3;0,712751;2000;70
25015;312596443;3951403604;3;0,712751;2000;70
25016;312600021;312599776;3;0,209951;2000;70
25017;312599776;312600021;3;0,209951;2000;70
25018;3758631011;312599892;3;0,117729;2000;70
25019;312599892;3758631011;3;0,117729;2000;70
25020;9866622127;313075292;3;0,037806;2000;70
25021;313075292;9866622127;3;0,037806;2000;70
25022;313077061;313077060;3;0,045078;2000;70
25023;313077060;313077061;3;0,045078;2000;70
25024;313082011;313077061;3;0,112188;2000;70
25025;313077061;313082011;3;0,112188;2000;70
25026;313077819;313077069;3;0,028496;2000;70
25027;313077069;313077819;3;0,028496;2000;70
25028;313082011;313077069;3;0,255309;2000;70
25029;313077069;313082011;3;0,255309;2000;70
25030;313748060;313077078;3;0,017859;2000;70
25031;313077078;313748060;3;0,017859;2000;70
25032;313077819;313077078;3;0,391057;2000;70
25033;313077078;313077819;3;0,391057;2000;70
25034;313747935;313077078;3;0,260888;2000;70
25035;313077078;313747935;3;0,260888;2000;70
25036;10886416000;313078215;3;1,119841;2000;70
25037;313078215;10886416000;3;1,119841;2000;70
25038;313078251;313078215;3;0,075036;2000;70
25039;313078215;313078251;3;0,075036;2000;70
25040;313747509;313078251;3;0,089536;2000;70
