Num‚ro de noeud;X;Y
29565562;-0,6613088;44,8063522
29565620;-0,6610834;44,8057657
29565834;-0,605303;44,7904374
29565974;-0,5528914;44,7789716
29566027;-0,5707759;44,7783969
29566028;-0,5706148;44,7781973
29566029;-0,5702353;44,7782104
29566154;-0,6235107;44,8824859
29566187;-0,6645854;44,8648854
29566193;-0,6632668;44,8685494
29566211;-0,6658668;44,8632349
29566264;-0,6713982;44,8533285
29566474;-0,658093;44,8472236
29566476;-0,6711687;44,8441124
29566493;-0,6713278;44,8437636
29566494;-0,6711635;44,8438461
29589616;-0,6792728;44,8662934
29589735;-0,6767796;44,8715192
29589767;-0,6753795;44,8707482
29589872;-0,660251;44,8638707
29589882;-0,6198817;44,8570381
29589884;-0,613971;44,8553076
35225028;-0,5304623;44,805711
35225042;-0,5382007;44,7968317
35225044;-0,5407851;44,7898716
35225082;-0,5408602;44,7887399
35225087;-0,5382993;44,7963472
35225094;-0,535453;44,8000008
35225147;-0,5382676;44,8192618
35225191;-0,5419095;44,8225543
35225194;-0,5412203;44,8209982
35225209;-0,5319627;44,8078388
35225212;-0,531936;44,8075582
35225222;-0,5356107;44,8000509
35225281;-0,5334448;44,8043166
35225289;-0,5352172;44,8044029
35225296;-0,5334588;44,8037173
35226604;-0,5311573;44,8024658
35228936;-0,5235824;44,8101342
35228941;-0,5215345;44,8120136
35228946;-0,5205648;44,8144611
35228968;-0,5179486;44,8210145
35228975;-0,5119646;44,8235398
35229011;-0,5015221;44,8400901
35229021;-0,5020579;44,8454774
35229034;-0,505166;44,8555814
35229046;-0,5039888;44,866221
35229049;-0,5045548;44,8687665
35229052;-0,5045186;44,868009
35229072;-0,5052286;44,8562556
35229094;-0,5044812;44,8510368
35229149;-0,5158728;44,8218888
35229155;-0,520422;44,8189994
35229170;-0,5218589;44,8118506
35232745;-0,5706579;44,8482027
35232762;-0,5672905;44,8383737
35232768;-0,5640584;44,8355188
35232776;-0,5586703;44,8315188
35232777;-0,5654603;44,8366499
35232782;-0,5657066;44,8368385
35232783;-0,5602527;44,8324541
35232786;-0,558822;44,8317709
35232795;-0,557034;44,8316768
35232797;-0,5575136;44,8317018
35232800;-0,5581463;44,8317835
35232802;-0,5572771;44,8318756
35232813;-0,5557262;44,8307744
35232824;-0,5564466;44,8305943
35234316;-0,5424267;44,8421428
35234319;-0,5394372;44,8449257
35234327;-0,537498;44,8480596
35234366;-0,539562;44,844973
35234370;-0,5425037;44,8422383
35234383;-0,5456978;44,8387278
35234387;-0,5485698;44,8376498
35234833;-0,5507646;44,8340059
35234874;-0,5531979;44,8352553
35234881;-0,5532624;44,83518
35237795;-0,5360963;44,8464324
35237812;-0,5389591;44,8464853
35237815;-0,5398126;44,8465071
35237822;-0,5406491;44,8465797
35237831;-0,5416205;44,8474236
35237868;-0,5397283;44,8464218
35237872;-0,5388376;44,8464178
35237885;-0,5375131;44,8465148
35237892;-0,5365951;44,846444
35237958;-0,5379233;44,8466005
35238005;-0,5376376;44,8478895
35238040;-0,5391247;44,8469987
35238043;-0,5391398;44,8469678
35238068;-0,5375654;44,8468611
35238110;-0,5377124;44,8505194
35238120;-0,5381222;44,8522243
35238123;-0,5383877;44,8530915
35238130;-0,5384085;44,8533059
35250808;-0,5717913;44,8376823
35258375;-0,5692029;44,8353963
35258423;-0,5756463;44,8363468
35258568;-0,5818295;44,8389015
36130680;-0,4997223;44,6980886
36130744;-0,2682153;44,5450159
36130746;-0,2625717;44,5403172
36133123;-0,0517021;44,5090679
36133288;-0,4995827;44,6981447
36133363;-0,2679919;44,5450047
36133365;-0,2624905;44,5404144
36133429;-0,05049;44,508894
36133431;-0,0413103;44,5057562
101438644;-0,8355643;44,5377025
101439017;-0,8400916;44,4983324
148985095;-0,5832392;44,8211997
150804758;-0,584934;44,8182368
225986547;-0,5699928;44,8532838
225992513;-0,5740928;44,8479503
225993076;-0,5727152;44,8480791
226336462;-0,5735895;44,8521364
226338096;-0,5787394;44,8507662
226342195;-0,5772914;44,8510722
226343665;-0,5749083;44,8550454
226352015;-0,5925519;44,8533719
226354062;-0,5756657;44,848824
226372166;-0,576913;44,8501534
226373645;-0,5719511;44,8547764
226375489;-0,5722542;44,8542899
226383836;-0,576204;44,8513034
229885876;-0,5812153;44,8474844
229885878;-0,5813631;44,8475541
229885882;-0,5862407;44,8502022
229897106;-0,5840275;44,8472051
229897110;-0,5845689;44,8464894
229897111;-0,5849977;44,8459299
229897114;-0,5854001;44,8453511
229897122;-0,5862139;44,8446928
229897124;-0,5865691;44,844445
229897127;-0,5866867;44,8443651
229897130;-0,5874031;44,8439616
229899498;-0,5800848;44,8466965
229901953;-0,5755999;44,8478095
229902962;-0,5767008;44,8471698
229909399;-0,5709315;44,8465423
229911115;-0,5706978;44,8449741
229926061;-0,5772813;44,8462377
229928641;-0,5731545;44,8430395
229928642;-0,5717812;44,8431718
239674225;-0,5792121;44,8460059
239676602;-0,5806797;44,8471008
239683551;-0,5820376;44,8491143
239687035;-0,5832089;44,8488759
239695253;-0,5842999;44,8493721
239696427;-0,5830132;44,8504191
240320556;-0,5549216;44,859638
240320558;-0,5540229;44,8603226
240703402;-0,5744628;44,8550481
240705217;-0,6224067;44,76119
240705222;-0,6206179;44,7634622
240705229;-0,6186232;44,7661277
240705233;-0,6180054;44,7670889
240705235;-0,6173151;44,7678027
240705247;-0,6146242;44,7718916
240708390;-0,6115084;44,7756906
240708396;-0,6108989;44,7767266
240713616;-0,5929729;44,8036296
240713636;-0,6029613;44,796114
240713647;-0,605255;44,7921461
244116650;-0,5848602;44,8225701
244116658;-0,5854164;44,8229216
244116660;-0,586086;44,8233526
244117656;-0,589225;44,8253755
244117768;-0,5484929;44,8171306
244117775;-0,5613634;44,8129365
244117784;-0,5981412;44,8466512
244117785;-0,5975169;44,8482214
244117790;-0,5808752;44,8638696
244131569;-0,5993809;44,8188053
244131573;-0,5995005;44,8190819
244131626;-0,5993198;44,8186656
244131633;-0,6006442;44,8147447
244131636;-0,6005631;44,8124718
244131808;-0,5829267;44,8213818
244131858;-0,5866664;44,8156464
244131871;-0,5836854;44,8201729
244131881;-0,5844615;44,8190642
244201877;-0,6299543;44,8510751
244202267;-0,6290552;44,8508475
244202520;-0,6274561;44,8505582
244202522;-0,6291392;44,8469107
244202695;-0,6312876;44,8462744
244203094;-0,6340564;44,8463724
244203555;-0,6275034;44,8474551
244203673;-0,6264442;44,8504005
244203769;-0,6279361;44,850636
244203895;-0,6257501;44,8474184
244598809;-0,5007628;44,8923031
244598813;-0,5062067;44,8870652
244598818;-0,5173074;44,8845984
244598825;-0,5217756;44,8826215
244598827;-0,524686;44,8806716
244598841;-0,5649693;44,8859674
244598847;-0,5777167;44,8877764
244598850;-0,592861;44,8887964
244598851;-0,5966691;44,8890573
244598852;-0,6044833;44,8895879
244598856;-0,6166934;44,8897429
